Afghan Afghani
Albanian Lek
Angolan Kwanza
Armenian Dram
Australian Dollar
Bangladeshi Taka
Bhutanese Ngultrum
Bolivian boliviano
Botswana Pula
Bulgarian Lev
CFP Franc
Central African CFA Franc
Chinese Yuan Renminbi
Costa Rican Colon
Croatian Kuna
Dalasi
Danish Krone
East Caribbean Dollar
Eritrean Νakfa
Ethiopian Birr
European Euro
Georgian Lari
Guatemalan Quetzal
Haitian Gourde
Honduran Lempira
Israeli New Sheqel
Japanese Yen
Kazakhstani Tenge
Kyrgyzstani Som
Lao Kip
Lesotho Loti
Malagasy Ariary
Malaysian Ringgit
Maldivian Rufiyaa
Mauritanian Ouguiya
Mongolian Tugrik
Moroccan Dirham
Mozambican Metical
Myanmar Kyat
Netherlands Antillean Guilder
New Zealand Dollar
Nigerian Naira
Paraguayan Guarani
Polish Zloty
Pound Sterling
Samoan Tala
Sao Tome and Principe Dobra
South African Rand
Swazi Lilangeni
Swiss Franc
Tajikistani Somoni
Thai baht
Tongan Paʻanga
Ukrainian Hryvnia
United States Dollar
Vanuatu Vatu
Venezuelan Bolivar
Vietnamese Dong
West African CFA Franc
